gen,solo,bail,loyal,pay_solo,pay_bail,pay_loyal
123,0.0105,0.9895,0.0000,0.6178,0.6441,0.0216
124,0.0101,0.9899,0.0000,0.6178,0.6440,0.0215
125,0.0097,0.9903,0.0000,0.6177,0.6440,0.0215
126,0.0093,0.9907,0.0000,0.6177,0.6440,0.0215
127,0.0089,0.9911,0.0000,0.6177,0.6439,0.0215
128,0.0086,0.9914,0.0000,0.6176,0.6439,0.0215
129,0.0082,0.9918,0.0000,0.6176,0.6439,0.0214
130,0.0079,0.9921,0.0000,0.6176,0.6439,0.0214
131,0.0076,0.9924,0.0000,0.6175,0.6438,0.0214
132,0.0072,0.9928,0.0000,0.6175,0.6438,0.0214
133,0.0070,0.9930,0.0000,0.6175,0.6438,0.0214
134,0.0067,0.9933,0.0000,0.6174,0.6438,0.0214
135,0.0064,0.9936,0.0000,0.6174,0.6437,0.0213
136,0.0061,0.9939,0.0000,0.6174,0.6437,0.0213
137,0.0059,0.9941,0.0000,0.6173,0.6437,0.0213
138,0.0057,0.9943,0.0000,0.6173,0.6437,0.0213
139,0.0054,0.9946,0.0000,0.6173,0.6437,0.0213
140,0.0052,0.9948,0.0000,0.6173,0.6436,0.0213
141,0.0050,0.9950,0.0000,0.6172,0.6436,0.0213
142,0.0048,0.9952,0.0000,0.6172,0.6436,0.0213
143,0.0046,0.9954,0.0000,0.6172,0.6436,0.0213
144,0.0044,0.9956,0.0000,0.6172,0.6436,0.0212
145,0.0042,0.9958,0.0000,0.6172,0.6436,0.0212
146,0.0040,0.9960,0.0000,0.6171,0.6436,0.0212
147,0.0039,0.9961,0.0000,0.6171,0.6435,0.0212
148,0.0037,0.9963,0.0000,0.6171,0.6435,0.0212
149,0.0036,0.9964,0.0000,0.6171,0.6435,0.0212
150,0.0034,0.9966,0.0000,0.6171,0.6435,0.0212
151,0.0033,0.9967,0.0000,0.6171,0.6435,0.0212
152,0.0032,0.9968,0.0000,0.6170,0.6435,0.0212
153,0.0030,0.9970,0.0000,0.6170,0.6435,0.0212
154,0.0029,0.9971,0.0000,0.6170,0.6435,0.0212
155,0.0028,0.9972,0.0000,0.6170,0.6435,0.0212
156,0.0027,0.9973,0.0000,0.6170,0.6434,0.0212
157,0.0026,0.9974,0.0000,0.6170,0.6434,0.0211
158,0.0025,0.9975,0.0000,0.6170,0.6434,0.0211
159,0.0024,0.9976,0.0000,0.6170,0.6434,0.0211
160,0.0023,0.9977,0.0000,0.6169,0.6434,0.0211
161,0.0022,0.9978,0.0000,0.6169,0.6434,0.0211
162,0.0021,0.9979,0.0000,0.6169,0.6434,0.0211
163,0.0020,0.9980,0.0000,0.6169,0.6434,0.0211
164,0.0019,0.9981,0.0000,0.6169,0.6434,0.0211
165,0.0018,0.9982,0.0000,0.6169,0.6434,0.0211
166,0.0018,0.9982,0.0000,0.6169,0.6434,0.0211
167,0.0017,0.9983,0.0000,0.6169,0.6434,0.0211
168,0.0016,0.9984,0.0000,0.6169,0.6434,0.0211
169,0.0015,0.9985,0.0000,0.6169,0.6434,0.0211
170,0.0015,0.9985,0.0000,0.6169,0.6433,0.0211
171,0.0014,0.9986,0.0000,0.6168,0.6433,0.0211
172,0.0014,0.9986,0.0000,0.6168,0.6433,0.0211
173,0.0013,0.9987,0.0000,0.6168,0.6433,0.0211
174,0.0013,0.9987,0.0000,0.6168,0.6433,0.0211
175,0.0012,0.9988,0.0000,0.6168,0.6433,0.0211
176,0.0012,0.9988,0.0000,0.6168,0.6433,0.0211
177,0.0011,0.9989,0.0000,0.6168,0.6433,0.0211
178,0.0011,0.9989,0.0000,0.6168,0.6433,0.0211
179,0.0010,0.9990,0.0000,0.6168,0.6433,0.0211
180,0.0010,0.9990,0.0000,0.6168,0.6433,0.0211
181,0.0009,0.9991,0.0000,0.6168,0.6433,0.0211
182,0.0009,0.9991,0.0000,0.6168,0.6433,0.0211
183,0.0009,0.9991,0.0000,0.6168,0.6433,0.0211
184,0.0008,0.9992,0.0000,0.6168,0.6433,0.0211
185,0.0008,0.9992,0.0000,0.6168,0.6433,0.0211
186,0.0008,0.9992,0.0000,0.6168,0.6433,0.0211
187,0.0007,0.9993,0.0000,0.6168,0.6433,0.0211
188,0.0007,0.9993,0.0000,0.6168,0.6433,0.0211
189,0.0007,0.9993,0.0000,0.6168,0.6433,0.0210
190,0.0006,0.9994,0.0000,0.6168,0.6433,0.0210
191,0.0006,0.9994,0.0000,0.6168,0.6433,0.0210
192,0.0006,0.9994,0.0000,0.6168,0.6433,0.0210
193,0.0006,0.9994,0.0000,0.6168,0.6433,0.0210
194,0.0005,0.9995,0.0000,0.6167,0.6433,0.0210
195,0.0005,0.9995,0.0000,0.6167,0.6433,0.0210
196,0.0005,0.9995,0.0000,0.6167,0.6433,0.0210
197,0.0005,0.9995,0.0000,0.6167,0.6433,0.0210
198,0.0005,0.9995,0.0000,0.6167,0.6433,0.0210
199,0.0004,0.9996,0.0000,0.6167,0.6433,0.0210
200,0.0004,0.9996,0.0000,0.6167,0.6433,0.0210
